Tiempo_Secuencial_s,Tiempo_SIMD_SSE_s,Aceleracion_SIMD_x,Datos
0.005,0.001,5,1000000
0.004,0.001,4,1000000
0.004,0.002,2,1000000
0.004,0.002,2,1000000
0.004,0.002,2,1000000
0.004,0.001,4,1000000
0.004,0.002,2,1000000
0.006,0.001,6,1000000
0.004,0.001,4,1000000
0.004,0.002,2,1000000
0.005,0.002,2.5,1000000
0.004,0.002,2,1000000
0.004,0.001,4,1000000
0.004,0.001,4,1000000
0.005,0.002,2.5,1000000
0.007,0.002,3.5,2000000
0.008,0.004,2,2000000
0.009,0.004,2.25,2000000
0.009,0.004,2.25,2000000
0.008,0.003,2.67,2000000
0.008,0.003,2.67,2000000
0.008,0.003,2.67,2000000
0.009,0.003,3,2000000
0.009,0.005,1.8,2000000
0.01,0.003,3.33,2000000
0.009,0.003,3,2000000
0.008,0.004,2,2000000
0.009,0.003,3,2000000
0.008,0.003,2.67,2000000
0.008,0.002,4,2000000
0.042,0.015,2.8,10000000
0.038,0.013,2.92,10000000
0.037,0.012,3.08,10000000
0.039,0.012,3.25,10000000
0.037,0.014,2.64,10000000
0.038,0.013,2.92,10000000
0.039,0.011,3.55,10000000
0.039,0.012,3.25,10000000
0.038,0.012,3.17,10000000
0.039,0.015,2.6,10000000
0.039,0.013,3,10000000
0.039,0.012,3.25,10000000
0.038,0.012,3.17,10000000
0.038,0.013,2.92,10000000
0.038,0.011,3.45,10000000
0.077,0.027,2.85,20000000
0.076,0.021,3.62,20000000
0.076,0.022,3.45,20000000
0.075,0.022,3.41,20000000
0.075,0.023,3.26,20000000
0.076,0.022,3.45,20000000
0.074,0.023,3.22,20000000
0.074,0.022,3.36,20000000
0.076,0.021,3.62,20000000
0.079,0.022,3.59,20000000
0.077,0.022,3.5,20000000
0.075,0.022,3.41,20000000
0.077,0.022,3.5,20000000
0.075,0.023,3.26,20000000
0.075,0.023,3.26,20000000
0.005,0.003,1.67,1000000
0.005,0.003,1.67,1000000
0.005,0.006,0.83,1000000
0.005,0.004,1.25,1000000
0.004,0.001,4.0,1000000
0.006,0.003,2.0,1000000
0.005,0.002,2.5,1000000
0.005,0.003,1.67,1000000
0.004,0.005,0.8,1000000
0.005,0.004,1.25,1000000
0.006,0.005,1.2,1000000
0.005,0.006,0.83,1000000
0.007,0.003,2.33,1000000
0.003,0.001,3.0,1000000
0.005,0.002,2.5,1000000
0.009,0.003,3.0,2000000
0.006,0.004,1.5,2000000
0.006,0.002,3.0,2000000
0.007,0.004,1.75,2000000
0.006,0.002,3.0,2000000
0.005,0.002,2.5,2000000
0.006,0.003,2.0,2000000
0.006,0.003,2.0,2000000
