Tiempo_Secuencial_s,Tiempo_SIMD_SSE_s,Aceleracion_SIMD_x,Tamano_Datos
0.005,0.003,1.67,1 Millón
0.005,0.003,1.67,1 Millón
0.005,0.006,0.83,1 Millón
0.005,0.004,1.25,1 Millón
0.004,0.001,4.0,1 Millón
0.006,0.003,2.0,1 Millón
0.005,0.002,2.5,1 Millón
0.005,0.003,1.67,1 Millón
0.004,0.005,0.8,1 Millón
0.005,0.004,1.25,1 Millón
0.006,0.005,1.2,1 Millón
0.005,0.006,0.83,1 Millón
0.007,0.003,2.33,1 Millón
0.003,0.001,3.0,1 Millón
0.005,0.002,2.5,1 Millón
0.009,0.003,3.0,2 Millones
0.006,0.004,1.5,2 Millones
0.006,0.002,3.0,2 Millones
0.007,0.004,1.75,2 Millones
0.006,0.002,3.0,2 Millones
0.005,0.002,2.5,2 Millones
0.006,0.003,2.0,2 Millones
0.006,0.003,2.0,2 Millones
0.006,0.003,2.0,2 Millones
0.006,0.003,2.0,2 Millones
0.006,0.003,2.0,2 Millones
0.005,0.003,1.67,2 Millones
0.005,0.003,1.67,2 Millones
0.004,0.003,1.33,2 Millones
0.005,0.002,2.5,2 Millones
0.043,0.011,3.91,10 Millones
0.025,0.014,1.79,10 Millones
0.025,0.012,2.08,10 Millones
0.026,0.01,2.6,10 Millones
0.025,0.011,2.27,10 Millones
0.026,0.01,2.6,10 Millones
0.026,0.009,2.89,10 Millones
0.026,0.009,2.89,10 Millones
0.028,0.011,2.55,10 Millones
0.026,0.01,2.6,10 Millones
0.026,0.012,2.17,10 Millones
0.026,0.01,2.6,10 Millones
0.026,0.01,2.6,10 Millones
0.027,0.009,3.0,10 Millones
0.026,0.01,2.6,10 Millones
0.072,0.019,3.79,20 Millones
0.051,0.019,2.68,20 Millones
0.051,0.019,2.68,20 Millones
0.05,0.017,2.94,20 Millones
0.049,0.018,2.72,20 Millones
0.049,0.018,2.72,20 Millones
0.051,0.018,2.83,20 Millones
0.049,0.018,2.72,20 Millones
0.05,0.017,2.94,20 Millones
0.049,0.018,2.72,20 Millones
0.051,0.019,2.68,20 Millones
0.05,0.019,2.63,20 Millones
0.05,0.018,2.78,20 Millones
0.05,0.018,2.78,20 Millones
0.05,0.02,2.5,20 Millones
